Girl's x position: Girl's y position: Girl's speed: Bear's x position: Bear's y position: Bear's speed: Telephone booth's x position: Telephone booth's y position: 	X_G	Y_G	X_B	Y_B
	4.29856	0.429856	5.68812	0.196866
	4.30851	0.430851	5.67826	0.198538
	4.31846	0.431846	5.6684	0.200229
	4.32841	0.432841	5.65855	0.20194
	4.33836	0.433836	5.6487	0.20367
	4.34831	0.434831	5.63886	0.20542
	4.35826	0.435826	5.62901	0.207191
	4.36821	0.436821	5.61918	0.208982
	4.37816	0.437816	5.60934	0.210796
	4.38811	0.438811	5.59951	0.212631
	4.39806	0.439806	5.58969	0.214489
	4.40801	0.440801	5.57986	0.21637
	4.41797	0.441797	5.57005	0.218275
	4.42792	0.442792	5.56024	0.220204
	4.43787	0.443787	5.55043	0.222157
	4.44782	0.444782	5.54063	0.224136
	4.45777	0.445777	5.53083	0.226142
	4.46772	0.446772	5.52104	0.228174
	4.47767	0.447767	5.51125	0.230233
	4.48762	0.448762	5.50147	0.232321
	4.49757	0.449757	5.4917	0.234438
	4.50752	0.450752	5.48193	0.236585
	4.51747	0.451747	5.47217	0.238762
	4.52742	0.452742	5.46242	0.240971
	4.53737	0.453737	5.45267	0.243212
	4.54732	0.454732	5.44294	0.245487
	4.55727	0.455727	5.43321	0.247797
	4.56722	0.456722	5.42348	0.250142
	4.57717	0.457717	5.41377	0.252524
	4.58712	0.458712	5.40407	0.254945
	4.59707	0.459707	5.39438	0.257404
	4.60702	0.460702	5.38469	0.259904
	4.61697	0.461697	5.37502	0.262446
	4.62692	0.462692	5.36536	0.265032
	4.63687	0.463687	5.35572	0.267663
	4.64682	0.464682	5.34608	0.27034
	4.65677	0.465677	5.33646	0.273067
	4.66672	0.466672	5.32685	0.275844
	4.67667	0.467667	5.31726	0.278674
	4.68663	0.468663	5.30769	0.281558
	4.69658	0.469658	5.29813	0.2845
	4.70653	0.470653	5.28859	0.287502
	4.71648	0.471648	5.27907	0.290565
	4.72643	0.472643	5.26957	0.293695
	4.73638	0.473638	5.2601	0.296892
	4.74633	0.474633	5.25065	0.300162
	4.75628	0.475628	5.24122	0.303507
	4.76623	0.476623	5.23183	0.306931
	4.77618	0.477618	5.22246	0.310439
	4.78613	0.478613	5.21313	0.314035
	4.79608	0.479608	5.20384	0.317725
	4.80603	0.480603	5.19458	0.321514
	4.81598	0.481598	5.18537	0.325409
	4.82593	0.482593	5.17621	0.329415
	4.83588	0.483588	5.1671	0.333542
	4.84583	0.484583	5.15805	0.337796
	4.85578	0.485578	5.14907	0.342188
	4.86573	0.486573	5.14016	0.346729
	4.87568	0.487568	5.13133	0.351429
	4.88563	0.488563	5.1226	0.356303
	4.89558	0.489558	5.11398	0.361365
	4.90553	0.490553	5.10548	0.366633
	4.91548	0.491548	5.09712	0.372127
	4.92543	0.492543	5.08893	0.377869
	4.93538	0.493538	5.08095	0.383886
	4.94533	0.494533	5.0732	0.390208
	4.95529	0.495529	5.06574	0.396869
	4.96524	0.496524	5.05864	0.40391
	4.97519	0.497519	5.05198	0.411374
	4.98514	0.498514	5.0459	0.419309
	4.99509	0.499509	5.04055	0.427756
	5.00504	0.500504	5.03616	0.436743
	5.01499	0.501499	5.03305	0.446247
	5.02494	0.502494	5.03162	0.456145
	5.03489	0.503489	5.03231	0.466121
	5.04484	0.504484	5.03542	0.475627
	5.05479	0.505479	5.04086	0.484016
	5.06474	0.506474	5.04814	0.490867
	5.07469	0.507469	5.05662	0.496169
	5.08464	0.508464	5.06578	0.500188
	5.09459	0.509459	5.0753	0.503251
	5.10454	0.510454	5.08501	0.505643
	5.11449	0.511449	5.09482	0.507575
	5.12444	0.512444	5.10469	0.509197
	5.13439	0.513439	5.11459	0.510611
	5.14434	0.514434	5.12451	0.511885
	5.15429	0.515429	5.13444	0.513067
	5.16424	0.516424	5.14437	0.514186
	5.17419	0.517419	5.15431	0.515264
	5.18414	0.518414	5.16426	0.516314
	5.19409	0.519409	5.17421	0.517346
	5.20404	0.520404	5.18415	0.518366
	5.21399	0.521399	5.1941	0.519377
	5.22395	0.522395	5.20405	0.520383
	5.2339	0.52339	5.214	0.521385
	5.24385	0.524385	5.22395	0.522385
	5.2538	0.52538	5.2339	0.523384
	5.26375	0.526375	5.24385	0.524381
	5.2737	0.52737	5.2538	0.525377
	5.28365	0.528365	5.26375	0.526373
	5.2936	0.52936	5.2737	0.527369
	5.30355	0.530355	5.28365	0.528364
	5.3135	0.53135	5.2936	0.52936
	5.32345	0.532345	5.30355	0.530355
	5.3334	0.53334	5.3135	0.53135
	5.34335	0.534335	5.32345	0.532345
	5.3533	0.53533	5.3334	0.53334
	5.36325	0.536325	5.34336	0.534335
	5.3732	0.53732	5.35331	0.53533
	5.38315	0.538315	5.36326	0.536326
	5.3931	0.53931	5.37321	0.537321
	5.40305	0.540305	5.38316	0.538316
	5.413	0.5413	5.39311	0.539311
	5.42295	0.542295	5.40306	0.540306
	5.4329	0.54329	5.41301	0.541301
	5.44285	0.544285	5.42296	0.542296
	5.4528	0.54528	5.43291	0.543291
	5.46275	0.546275	5.44286	0.544286
	5.4727	0.54727	5.45281	0.545281
	5.48265	0.548265	5.46276	0.546276
	5.49261	0.549261	5.47271	0.547271
	5.50256	0.550256	5.48266	0.548266
	5.51251	0.551251	5.49261	0.549261
	5.52246	0.552246	5.50256	0.550256
	5.53241	0.553241	5.51251	0.551251
	5.54236	0.554236	5.52246	0.552246
	5.55231	0.555231	5.53241	0.553241
	5.56226	0.556226	5.54236	0.554236
	5.57221	0.557221	5.55231	0.555231
	5.58216	0.558216	5.56226	0.556226
	5.59211	0.559211	5.57221	0.557221
	5.60206	0.560206	5.58216	0.558216
	5.61201	0.561201	5.59211	0.559211
	5.62196	0.562196	5.60206	0.560206
	5.63191	0.563191	5.61202	0.561202
	5.64186	0.564186	5.62197	0.562197
	5.65181	0.565181	5.63192	0.563192
	5.66176	0.566176	5.64187	0.564187
	5.67171	0.567171	5.65182	0.565182
	5.68166	0.568166	5.66177	0.566177
	5.69161	0.569161	5.67172	0.567172
	5.70156	0.570156	5.68167	0.568167
	5.71151	0.571151	5.69162	0.569162
	5.72146	0.572146	5.70157	0.570157
	5.73141	0.573141	5.71152	0.571152
	5.74136	0.574136	5.72147	0.572147
	5.75131	0.575131	5.73142	0.573142
	5.76127	0.576127	5.74137	0.574137
	5.77122	0.577122	5.75132	0.575132
	5.78117	0.578117	5.76127	0.576127
	5.79112	0.579112	5.77122	0.577122
	5.80107	0.580107	5.78117	0.578117
	5.81102	0.581102	5.79112	0.579112
	5.82097	0.582097	5.80107	0.580107
	5.83092	0.583092	5.81102	0.581102
	5.84087	0.584087	5.82097	0.582097
	5.85082	0.585082	5.83092	0.583092
	5.86077	0.586077	5.84087	0.584087
	5.87072	0.587072	5.85082	0.585082
	5.88067	0.588067	5.86077	0.586077
	5.89062	0.589062	5.87072	0.587072
	5.90057	0.590057	5.88068	0.588068
	5.91052	0.591052	5.89063	0.589063
	5.92047	0.592047	5.90058	0.590058
	5.93042	0.593042	5.91053	0.591053
	5.94037	0.594037	5.92048	0.592048
	5.95032	0.595032	5.93043	0.593043
	5.96027	0.596027	5.94038	0.594038
	5.97022	0.597022	5.95033	0.595033
	5.98017	0.598017	5.96028	0.596028
	5.99012	0.599012	5.97023	0.597023
	6.00007	0.600007	5.98018	0.598018
	6.01002	0.601002	5.99013	0.599013
	6.01998	0.601998	6.00008	0.600008
	6.02993	0.602993	6.01003	0.601003
	6.03988	0.603988	6.01998	0.601998
	6.04983	0.604983	6.02993	0.602993
	6.05978	0.605978	6.03988	0.603988
	6.06973	0.606973	6.04983	0.604983
	6.07968	0.607968	6.05978	0.605978
	6.08963	0.608963	6.06973	0.606973
	6.09958	0.609958	6.07968	0.607968
	6.10953	0.610953	6.08963	0.608963
	6.11948	0.611948	6.09958	0.609958
	6.12943	0.612943	6.10953	0.610953
	6.13938	0.613938	6.11948	0.611948
	6.14933	0.614933	6.12943	0.612943
	6.15928	0.615928	6.13938	0.613938
	6.16923	0.616923	6.14934	0.614934
	6.17918	0.617918	6.15929	0.615929
	6.18913	0.618913	6.16924	0.616924
	6.19908	0.619908	6.17919	0.617919
	6.20903	0.620903	6.18914	0.618914
	6.21898	0.621898	6.19909	0.619909
	6.22893	0.622893	6.20904	0.620904
	6.23888	0.623888	6.21899	0.621899
	6.24883	0.624883	6.22894	0.622894
	6.25878	0.625878	6.23889	0.623889
	6.26873	0.626873	6.24884	0.624884
	6.27868	0.627868	6.25879	0.625879
	6.28864	0.628864	6.26874	0.626874
	6.29859	0.629859	6.27869	0.627869
	6.30854	0.630854	6.28864	0.628864
	6.31849	0.631849	6.29859	0.629859
	6.32844	0.632844	6.30854	0.630854
